@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mc2022_track1_099.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.008000,0.147000,60.007000,1.030000,0.106000,0.114000,0.112000,0.098000,0.095000,5.813000,2.089000,1.797000
mc2022_track1_101.dimacs,1,0.000000,0.060000,0.000000,0.021000,0.095000,0.136000,40.166000,60.000000,21.947000,3.138000,4.495000,2.072000,2.253000,6.241000,3.903000,34.158000
mc2022_track1_103.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.002000,0.023000,2.648000,0.233000,0.077000,0.028000,0.021000,0.411000,0.021000,1.293000,1.579000,0.047000
mc2022_track1_105.dimacs,1,0.000000,0.007000,0.000000,0.006000,0.295000,0.634000,60.015000,20.507000,0.240000,?,0.241000,0.242000,?,60.000000,0.262000,0.240000
mc2022_track1_107.dimacs,1,0.000000,0.002000,0.000000,0.002000,0.023000,0.265000,19.787000,6.550000,0.113000,0.097000,0.097000,0.092000,0.089000,5.797000,2.091000,60.000000
mc2022_track1_109.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,13.954000,11.180000,0.176000,0.054000,0.049000,0.044000,1.632000,0.030000,5.876000,0.717000,0.166000
mc2022_track1_111.dimacs,1,0.000000,0.009000,0.001000,0.010000,0.310000,0.675000,60.012000,18.495000,0.298000,0.251000,0.250000,0.254000,0.249000,0.773000,0.727000,0.249000
mc2022_track1_113.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,49.014000,0.105000,0.054000,0.035000,0.023000,0.021000,0.024000,1.985000,2.027000,0.032000
mc2022_track1_115.dimacs,1,0.000000,0.026000,0.001000,0.007000,0.476000,0.618000,60.012000,20.114000,0.242000,?,0.240000,0.241000,?,60.000000,0.253000,0.237000
mc2022_track1_117.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,11.959000,60.007000,0.429000,0.030000,0.024000,0.023000,0.025000,0.016000,5.424000,1.643000,60.000000
mc2022_track1_119.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.002000,0.023000,60.006000,0.219000,0.215000,0.033000,0.013000,0.016000,0.009000,3.512000,1.131000,0.091000
mc2022_track1_121.dimacs,1,0.000000,0.006000,0.000000,0.008000,0.238000,0.698000,60.010000,12.476000,0.199000,?,0.197000,0.199000,?,60.000000,0.217000,0.201000
mc2022_track1_123.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,0.006000,60.007000,0.690000,0.833000,0.106000,0.050000,0.041000,0.065000,4.968000,2.042000,0.113000
mc2022_track1_125.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.006000,0.047000,60.008000,5.674000,0.093000,0.070000,0.080000,0.062000,0.063000,5.561000,2.061000,60.000000
mc2022_track1_127.dimacs,1,0.000000,0.006000,0.000000,0.033000,0.032000,23.604000,60.010000,58.076000,20.635000,1.696000,1.103000,0.633000,2.236000,4.981000,2.596000,3.960000
mc2022_track1_129.dimacs,1,0.000000,0.018000,0.000000,0.019000,0.094000,23.567000,60.018000,60.000000,22.013000,6.047000,3.592000,2.061000,3.619000,6.288000,3.975000,17.189000
mc2022_track1_131.dimacs,1,0.000000,0.010000,0.000000,0.036000,0.410000,6.354000,60.016000,60.000000,5.819000,2.535000,4.823000,1.468000,1.593000,5.843000,3.418000,60.000000
mc2022_track1_133.dimacs,1,0.000000,0.015000,0.000000,0.010000,0.249000,60.000000,60.032000,38.663000,0.846000,0.525000,1.916000,5.405000,0.420000,5.844000,2.398000,12.760000
mc2022_track1_135.dimacs,1,0.000000,0.011000,0.002000,0.011000,1.514000,60.000000,60.021000,60.000000,0.906000,0.493000,0.707000,0.429000,0.422000,5.835000,2.422000,60.000000
mc2022_track1_137.dimacs,1,0.000000,0.004000,0.000000,0.004000,0.069000,3.998000,60.009000,10.253000,13.815000,0.665000,0.976000,0.461000,0.472000,5.724000,2.445000,60.000000
